id,来源,名称,分类,红绿灯地址,大图片地址,小图片地址,热量,碳水化合物,脂肪,蛋白质,纤维素,维生素A,维生素C,维生素E,胡萝卜素,硫胺素,核黄素,烟酸,胆固醇,镁,钙,铁,锌,铜,锰,钾,磷,钠,硒,度量单位
quechaoquanzhinaifenNESPRAY,用户上传,雀巢 全脂奶粉NESPRAY,奶类及制品,http://s2.boohee.cn/food/star/quechaoquanzhinaifenNESPRAY-d74cabdab7ff721ef3fd8906a27eb08c.png,http://s2.boohee.cn/house/upload_food/2013/8/23/2230088_1377230203.jpg,http://s2.boohee.cn/house/upload_food/2013/8/23/2230088_1377230203mid.jpg,498,37.00,28.20,24.00,一,,,,,,,,,,,,,,,,,,,
kashiguoliaosuanniuru_caomei,用户上传,卡士 果料酸牛乳(草莓),奶类及制品,http://s2.boohee.cn/food/star/kashiguoliaosuanniuru_caomei-b52c0d4de3ebd614cce1c216d447004a.png,http://s2.boohee.cn/house/upload_food/2009/11/17/195942_1258439875.jpg,http://s2.boohee.cn/house/upload_food/2009/11/17/195942_1258439875mid.jpg,98,12.00,4.10,3.10,0.00,,,,,,,,,,,,,,,,,,,
guangmingyoujiadizhiniunai_xin,用户上传,光明 优+ 低脂牛奶(减脂50%),奶类及制品,http://s2.boohee.cn/food/star/guangmingyoujiadizhiniunai_xin-72a951a3584096529137f091d74a3edd.png,http://s2.boohee.cn/house/upload_food/2010/9/9/395317_1284011127.jpg,http://s2.boohee.cn/house/upload_food/2010/9/9/395317_1284011127mid.jpg,45,5.00,1.30,3.30,一,,,,,,,,,,,,,,,,,,,
youernaifen_meisugao_quannengzhuang,薄荷,幼儿奶粉,奶类及制品,http://s2.boohee.cn/food/star/youernaifen_meisugao_quannengzhuang-af83fcefbb0987b6f68f051a577d8bd4.png,http://s2.boohee.cn/house/upload_food/2018/12/10/big_photo_url_ca1be4b9ba30489114324fb1b251fc91.jpg,http://s2.boohee.cn/house/upload_food/2018/12/10/mid_photo_url_979685734492bfd0f94e42b07c5e47fa.jpg,448,48.60,18.40,22.10,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
yiligaodanbaituozhigaogainaife3,用户上传,伊利 高蛋白脱脂高钙奶粉,奶类及制品,http://s2.boohee.cn/food/star/yiligaodanbaituozhigaogainaife3-54a954e21e236f844015f43d40ff55c8.png,http://s2.boohee.cn/house/upload_food/2011/5/31/137923_1306844166.jpg,http://s2.boohee.cn/house/upload_food/2011/5/31/137923_1306844166mid.jpg,371,56.20,1.20,32.60,0.00,,,,,,,,,,,,,,,,,,,"1袋伊利 高蛋白脱脂高钙奶粉(25.0克)93大卡,1勺伊利 高蛋白脱脂高钙奶粉(20.0克)74大卡,标准(100克)371大卡"
guangminglvdoubaohesuannai,用户上传,光明 绿豆薄荷酸奶,奶类及制品,http://s2.boohee.cn/food/star/guangminglvdoubaohesuannai-e6bc8855283ff5ecb63a211c07dc8cb5.png,http://s2.boohee.cn/house/upload_food/2009/8/14/271593_1250222412.jpg,http://s2.boohee.cn/house/upload_food/2009/8/14/271593_1250222412mid.jpg,82,11.00,3.00,2.80,0.00,,,,,,,,,,,,,,,,,,,
gaogaigaotienaifen_keqipai,薄荷,可淇 高钙高铁奶粉(牌),奶类及制品,http://s2.boohee.cn/food/star/gaogaigaotienaifen_keqipai-edaaf88a816279c79c46f6ee329513a8.png,http://s2.boohee.cn/house/new_food/big/1de79ba7e863445199aa6a275296aa01.jpg,http://s2.boohee.cn/house/new_food/mid/1de79ba7e863445199aa6a275296aa01.jpg,437,63.00,13.00,17.00,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,一,
lezhiniu8lizhuangnailao,用户上传,乐芝牛 8粒装奶酪,奶类及制品,http://s2.boohee.cn/food/star/lezhiniu8lizhuangnailao-616e8b65ee03eccfb5358711ec629b06.png,http://s2.boohee.cn/house/upload_food/2009/1/21/192215_1232513375.jpg,http://s2.boohee.cn/house/upload_food/2009/1/21/192215_1232513375mid.jpg,303,6.00,27.00,9.00,一,,,,,,,,,,,,,,,,,,,
kafuhiqiedanailaopian,用户上传,卡夫 切达奶酪片,奶类及制品,http://s2.boohee.cn/food/star/kafuhiqiedanailaopian-4a9f469c8bb72caa920d4b9bdda5f60b.png,http://s2.boohee.cn/house/upload_food/2011/6/8/67636_1307485245.jpg,http://s2.boohee.cn/house/upload_food/2011/6/8/67636_1307485245mid.jpg,286,7.14,21.43,16.67,0.00,,,,,,,,,,,,,,,,,,,
faguobaijifuchengchangnailao_caomeiwei,用户上传,法国百吉福 成长奶酪(草莓味),奶类及制品,http://s2.boohee.cn/food/star/faguobaijifuchengchangnailao_caomeiwei-dc0e912181863d006912b3c7eafef69f.png,http://s2.boohee.cn/house/upload_food/2009/7/2/316256_1246484958.jpg,http://s2.boohee.cn/house/upload_food/2009/7/2/316256_1246484958mid.jpg,224,10.00,16.50,9.20,一,,,,,,,,,,,,,,,,,,,
xiaoxiaoguangmingjiankangchengchangnailao_yuanwei_xinbaozhuang,用户上传,光明 小小光明 健康成长奶酪(原味)(新包装),奶类及制品,http://s2.boohee.cn/food/star/xiaoxiaoguangmingjiankangchengchangnailao_yuanwei_xinbaozhuang-8937081ecb8cf54c9bbcf1bb5c23d9a1.png,http://s2.boohee.cn/house/upload_food/2010/2/3/275324_1265197709.jpg,http://s2.boohee.cn/house/upload_food/2010/2/3/275324_1265197709mid.jpg,196,11.00,18.00,5.80,一,,,,,,,,,,,,,,,,,,,
nanshangaogaigaoxinyingyangnai,用户上传,新希望 南山 南山高钙高锌营养奶粉,奶类及制品,http://s2.boohee.cn/food/star/nanshangaogaigaoxinyingyangnai-2626ea6e013ad6c8a83f39227e56be6d.png,http://s2.boohee.cn/house/upload_food/2012/4/1/452803_1333295641.jpg,http://s2.boohee.cn/house/upload_food/2012/4/1/452803_1333295641mid.jpg,480,56.00,20.00,18.00,3.00,,,,,,,,,,,,,,,,,,,
guangming90hituozhixianniunai,用户上传,光明 90%低脂鲜牛奶,奶类及制品,http://s2.boohee.cn/food/star/guangming90hituozhixianniunai-c6902a6acba9651072a2bf084a13ec49.png,http://s2.boohee.cn/house/upload_food/2008/6/16/81357_1213573727.jpg,http://s2.boohee.cn/house/upload_food/2008/6/16/81357_1213573727mid.jpg,18,0.80,0.30,3.10,一,,,,,,,,,,,,,,,,,,,"1盒光明 90%低脂鲜牛奶(250.0毫升)46大卡,标准(100毫升)18大卡"
